WOSID,DATE,TITLE,LASTNAME,FIRSTNAME,JOURNAL,EMAILADDRESS,PUBLISHER,SUBJECT,WC,AUTHOR_KEYWORDS
WOS:A1982NH57200003,1982,Electron-Microscopy Of Argon-Laser Therapy In Phakic Open-Angle Glaucoma,RODRIGUES,MM,OPHTHALMOLOGY,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH57200003,1982,Electron-Microscopy Of Argon-Laser Therapy In Phakic Open-Angle Glaucoma,SPAETH,GL,OPHTHALMOLOGY,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH57200003,1982,Electron-Microscopy Of Argon-Laser Therapy In Phakic Open-Angle Glaucoma,DONOHOO,P,OPHTHALMOLOGY,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH54200004,1982,Short-Term Effects Of Q-Switched Ruby-Laser On Monkey Anterior-Chamber Angle,BONNEY,CH,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH54200004,1982,Short-Term Effects Of Q-Switched Ruby-Laser On Monkey Anterior-Chamber Angle,GAASTERLAND,DE,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH54200004,1982,Short-Term Effects Of Q-Switched Ruby-Laser On Monkey Anterior-Chamber Angle,RODRIGUES,MM,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH54200004,1982,Short-Term Effects Of Q-Switched Ruby-Laser On Monkey Anterior-Chamber Angle,RAYMOND,JJ,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1982NH54200004,1982,Short-Term Effects Of Q-Switched Ruby-Laser On Monkey Anterior-Chamber Angle,DONOHOO,P,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,[],LIPPINCOTT-RAVEN PUBL,[u'OPHTHALMOLOGY'],[u'OPHTHALMOLOGY'],[]
WOS:A1973P733600022,1973,"Differences In Proteins Synthesized By Progeny Of First 2 Blastomeres Of Ilyanassa, A Mosaic Embryo",DONOHOO,P,DEVELOPMENTAL BIOLOGY,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,[u'DEVELOPMENTAL BIOLOGY'],[u'DEVELOPMENTAL BIOLOGY'],[]
WOS:A1973P733600022,1973,"Differences In Proteins Synthesized By Progeny Of First 2 Blastomeres Of Ilyanassa, A Mosaic Embryo",KAFATOS,FC,DEVELOPMENTAL BIOLOGY,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,[u'DEVELOPMENTAL BIOLOGY'],[u'DEVELOPMENTAL BIOLOGY'],[]
