WOSID,DATE,TITLE,LASTNAME,FIRSTNAME,JOURNAL,EMAILADDRESS,PUBLISHER,SUBJECT,WC,AUTHOR_KEYWORDS,INSTITUTE,CO-AUTHORS
WOS:A1994MR93700039,1994,The Fucosyl-Transferase Locus Fut1 Maps Distal To Apolipoprotein Loci-E And C2 On Human-Chromosome-19,ROUQUIER,S,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'LINKAGE GROUP', u'GENE', u'SE', u'LU', u'ASSIGNMENT', u'APOC2', u'PEPD', u'CII', u'C-3']","LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,LIVERMORE,CA 94550.","[(u'BRANDRIFF', u'B'), (u'BERGMANN', u'A'), (u'LENNON', u'G'), (u'GIORGI', u'D')]"
WOS:A1994MR93700039,1994,The Fucosyl-Transferase Locus Fut1 Maps Distal To Apolipoprotein Loci-E And C2 On Human-Chromosome-19,LENNON,G,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'LINKAGE GROUP', u'GENE', u'SE', u'LU', u'ASSIGNMENT', u'APOC2', u'PEPD', u'CII', u'C-3']","LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,LIVERMORE,CA 94550.","[(u'ROUQUIER', u'S'), (u'BERGMANN', u'A'), (u'GIORGI', u'D'), (u'BRANDRIFF', u'B')]"
WOS:A1994MR93700039,1994,The Fucosyl-Transferase Locus Fut1 Maps Distal To Apolipoprotein Loci-E And C2 On Human-Chromosome-19,BERGMANN,A,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'LINKAGE GROUP', u'GENE', u'SE', u'LU', u'ASSIGNMENT', u'APOC2', u'PEPD', u'CII', u'C-3']","LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,LIVERMORE,CA 94550.","[(u'ROUQUIER', u'S'), (u'BRANDRIFF', u'B'), (u'LENNON', u'G'), (u'GIORGI', u'D')]"
WOS:A1994MR93700039,1994,The Fucosyl-Transferase Locus Fut1 Maps Distal To Apolipoprotein Loci-E And C2 On Human-Chromosome-19,GIORGI,D,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'LINKAGE GROUP', u'GENE', u'SE', u'LU', u'ASSIGNMENT', u'APOC2', u'PEPD', u'CII', u'C-3']","LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,LIVERMORE,CA 94550.","[(u'ROUQUIER', u'S'), (u'BERGMANN', u'A'), (u'LENNON', u'G'), (u'BRANDRIFF', u'B')]"
WOS:A1994MR93700039,1994,The Fucosyl-Transferase Locus Fut1 Maps Distal To Apolipoprotein Loci-E And C2 On Human-Chromosome-19,BRANDRIFF,B,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'LINKAGE GROUP', u'GENE', u'SE', u'LU', u'ASSIGNMENT', u'APOC2', u'PEPD', u'CII', u'C-3']","LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,LIVERMORE,CA 94550.","[(u'ROUQUIER', u'S'), (u'BERGMANN', u'A'), (u'LENNON', u'G'), (u'GIORGI', u'D')]"
WOS:A1988M992400009,1988,An Analysis Of Structural-Aberrations In Human-Sperm Chromosomes,BRANDRIFF,BF,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']",[],,"[(u'CARRANO', u'AV'), (u'GORDON', u'LA'), (u'MOORE', u'D')]"
WOS:A1988M992400009,1988,An Analysis Of Structural-Aberrations In Human-Sperm Chromosomes,CARRANO,AV,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']",[],,"[(u'BRANDRIFF', u'BF'), (u'GORDON', u'LA'), (u'MOORE', u'D')]"
WOS:A1988M992400009,1988,An Analysis Of Structural-Aberrations In Human-Sperm Chromosomes,GORDON,LA,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']",[],,"[(u'BRANDRIFF', u'BF'), (u'CARRANO', u'AV'), (u'MOORE', u'D')]"
WOS:A1988M992400009,1988,An Analysis Of Structural-Aberrations In Human-Sperm Chromosomes,MOORE,D,CYTOGENETICS AND CELL GENETICS,[],KARGER,"[u'CELL BIOLOGY', u'GENETICS & HEREDITY']","[u'CELL BIOLOGY', u'GENETICS & HEREDITY']",[],,"[(u'BRANDRIFF', u'BF'), (u'CARRANO', u'AV'), (u'GORDON', u'LA')]"
WOS:A1991FK40800011,1991,A New System For High-Resolution Dna-Sequence Mapping In Interphase Pronuclei,TRASK,B,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'INSITU HYBRIDIZATION', u'HUMAN-SPERM', u'HAMSTER', u'ORGANIZATION', u'LINE']",,"[(u'BRANDRIFF', u'B'), (u'GORDON', u'L')]"
WOS:A1991FK40800011,1991,A New System For High-Resolution Dna-Sequence Mapping In Interphase Pronuclei,BRANDRIFF,B,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'INSITU HYBRIDIZATION', u'HUMAN-SPERM', u'HAMSTER', u'ORGANIZATION', u'LINE']",,"[(u'TRASK', u'B'), (u'GORDON', u'L')]"
WOS:A1991FK40800011,1991,A New System For High-Resolution Dna-Sequence Mapping In Interphase Pronuclei,GORDON,L,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'INSITU HYBRIDIZATION', u'HUMAN-SPERM', u'HAMSTER', u'ORGANIZATION', u'LINE']",,"[(u'TRASK', u'B'), (u'BRANDRIFF', u'B')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",BRANDRIFF,BF,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'KIMURA', u'S'), (u'HER', u'C'), (u'WEINSHILBOUM', u'RM'), (u'AKSOY', u'IA'), (u'WASMUTH', u'JJ')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",WEINSHILBOUM,RM,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'BRANDRIFF', u'BF'), (u'KIMURA', u'S'), (u'HER', u'C'), (u'AKSOY', u'IA'), (u'WASMUTH', u'JJ')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",AKSOY,IA,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'BRANDRIFF', u'BF'), (u'KIMURA', u'S'), (u'HER', u'C'), (u'WEINSHILBOUM', u'RM'), (u'WASMUTH', u'JJ')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",WASMUTH,JJ,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'BRANDRIFF', u'BF'), (u'KIMURA', u'S'), (u'HER', u'C'), (u'WEINSHILBOUM', u'RM'), (u'AKSOY', u'IA')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",KIMURA,S,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'BRANDRIFF', u'BF'), (u'HER', u'C'), (u'WEINSHILBOUM', u'RM'), (u'AKSOY', u'IA'), (u'WASMUTH', u'JJ')]"
WOS:A1995RU60400003,1995,"Human Estrogen Sulfotransferase Gene (Ste) - Cloning, Structure, And Chromosomal Localization",HER,C,GENOMICS,[],ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,"[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'BIOTECHNOLOGY & APPLIED MICROBIOLOGY', u'GENETICS & HEREDITY']","[u'MOLECULAR-CLONING', u'PHENOL SULFOTRANSFERASE', u'SEQUENCE-ANALYSIS', u'RAT-LIVER', u'DEHYDROEPIANDROSTERONE SULFOTRANSFERASE', u'HYDROXYSTEROID SULFOTRANSFERASE', u'MOUSE-LIVER', u'CDNA', u'EXPRESSION', u'FORM']","[u'MAYO CLIN & MAYO FDN,MAYO MED SCH,DEPT PHARMACOL,ROCHESTER,MN 55905.', u'NCI,MOLEC CARCINOGENESIS LAB,BETHESDA,MD 20892.', u'LAWRENCE LIVERMORE NATL LAB,CTR HUMAN GENOME,BIOL & BIOTECHNOL RES PROGRAM,LIVERMORE,CA 94550.', u'UNIV CALIF IRVINE,COLL MED,DEPT BIOL CHEM,NATL HUMAN GENOME RES CTR,IRVINE,CA 92717.']","[(u'BRANDRIFF', u'BF'), (u'KIMURA', u'S'), (u'WEINSHILBOUM', u'RM'), (u'AKSOY', u'IA'), (u'WASMUTH', u'JJ')]"
WOS:A1986AZL1600028,1986,Cytogenetics Of Human-Sperm - Chromosomal-Aberrations Induced By Invitro Irradiation,HAENDEL,S,ENVIRONMENTAL MUTAGENESIS,[],WILEY-LISS,[u'ENVIRONMENTAL SCIENCES & ECOLOGY'],[u'ENVIRONMENTAL SCIENCES'],[],"UNIV CALIF LAWRENCE LIVERMORE NATL LAB,LIVERMORE,CA 94550.","[(u'CARRANO', u'AV'), (u'BRANDRIFF', u'B'), (u'ASHWORTH', u'LK'), (u'GORDON', u'L')]"
WOS:A1986AZL1600028,1986,Cytogenetics Of Human-Sperm - Chromosomal-Aberrations Induced By Invitro Irradiation,BRANDRIFF,B,ENVIRONMENTAL MUTAGENESIS,[],WILEY-LISS,[u'ENVIRONMENTAL SCIENCES & ECOLOGY'],[u'ENVIRONMENTAL SCIENCES'],[],"UNIV CALIF LAWRENCE LIVERMORE NATL LAB,LIVERMORE,CA 94550.","[(u'HAENDEL', u'S'), (u'ASHWORTH', u'LK'), (u'GORDON', u'L'), (u'CARRANO', u'AV')]"
WOS:A1986AZL1600028,1986,Cytogenetics Of Human-Sperm - Chromosomal-Aberrations Induced By Invitro Irradiation,ASHWORTH,LK,ENVIRONMENTAL MUTAGENESIS,[],WILEY-LISS,[u'ENVIRONMENTAL SCIENCES & ECOLOGY'],[u'ENVIRONMENTAL SCIENCES'],[],"UNIV CALIF LAWRENCE LIVERMORE NATL LAB,LIVERMORE,CA 94550.","[(u'HAENDEL', u'S'), (u'BRANDRIFF', u'B'), (u'GORDON', u'L'), (u'CARRANO', u'AV')]"
WOS:A1986AZL1600028,1986,Cytogenetics Of Human-Sperm - Chromosomal-Aberrations Induced By Invitro Irradiation,GORDON,L,ENVIRONMENTAL MUTAGENESIS,[],WILEY-LISS,[u'ENVIRONMENTAL SCIENCES & ECOLOGY'],[u'ENVIRONMENTAL SCIENCES'],[],"UNIV CALIF LAWRENCE LIVERMORE NATL LAB,LIVERMORE,CA 94550.","[(u'HAENDEL', u'S'), (u'BRANDRIFF', u'B'), (u'ASHWORTH', u'LK'), (u'CARRANO', u'AV')]"
WOS:A1986AZL1600028,1986,Cytogenetics Of Human-Sperm - Chromosomal-Aberrations Induced By Invitro Irradiation,CARRANO,AV,ENVIRONMENTAL MUTAGENESIS,[],WILEY-LISS,[u'ENVIRONMENTAL SCIENCES & ECOLOGY'],[u'ENVIRONMENTAL SCIENCES'],[],"UNIV CALIF LAWRENCE LIVERMORE NATL LAB,LIVERMORE,CA 94550.","[(u'HAENDEL', u'S'), (u'BRANDRIFF', u'B'), (u'ASHWORTH', u'LK'), (u'GORDON', u'L')]"
WOS:A1977DH38800021,1977,Cytasters From Sea-Urchin Eggs Parthenogenetically Activated By Procaine,MOY,GW,JOURNAL OF CELL BIOLOGY,[],ROCKEFELLER UNIV PRESS,[u'CELL BIOLOGY'],[u'CELL BIOLOGY'],[],"UNIV CALIF DAVIS,DEPT ZOOL,DAVIS,CA 95616.","[(u'BRANDRIFF', u'B'), (u'VACQUIER', u'VD')]"
